Date,Actual_Temperature,Predicted_Temperature_Day1,Predicted_Temperature_Day2,Predicted_Temperature_Day3
30-5-2024,38,39,39,37
31-5-2024,39,39,38,35
1-6-2024,38,38,34,35
2-6-2024,37,35,34,34
3-6-2024,31,35,34,34
4-6-2024,34,32,32,33
5-6-2024,33,33,32,32
6-6-2024,32,33,33,33
7-6-2024,31,32,31,31
8-6-2024,31,29,29,27
9-6-2024,29,30,31,31
10-6-2024,30,30,31,32
11-6-2024,29,32,31,32
12-6-2024,31,33,32,33
13-6-2024,32,30,32,33
14-6-2024,31,32,33,33
15-6-2024,32,33,33,32
16-6-2024,33,34,33,33
17-6-2024,34,32,32,32
18-6-2024,32,33,33,33
19-6-2024,32,32,32,31
20-6-2024,32,33,31,30
21-6-2024,31,30,29,31
22-6-2024,31,31,32,32
23-6-2024,31,33,32,32
24-6-2024,NA,NA,NA,NA
25-6-2024,32,32,29,28
26-6-2024,32,28,29,31
27-6-2024,29,29,30,31
28-6-2024,NA,NA,NA,NA
29-6-2024,30,31,31,32
30-6-2024,29,31,32,32
1-7-2024,NA,NA,NA,NA
2-7-2024,NA,NA,NA,NA
3-7-2024,NA,NA,NA,NA
4-7-2024,NA,NA,NA,NA
5-7-2024,32,32,31,30
6-7-2024,31,30,30,29
7-7-2024,29,29,28,29
8-7-2024,29,28,29,29
9-7-2024,29,29,30,31
10-7-2024,29,30,31,30